entrance_epoch_time,datetime,left_ring,right_ring,bird_id,Verify?,photo_path
1744807363.88566,2025-04-16 13:42:43.885662,olive,NA,4,possibly not counted,GX321866-00.03.44.141
1744807493.5518,2025-04-16 13:44:53.551796,,,,can’t see legs ,GX321866-00.06.11.922 or GX321866-00.06.12.414
1744807497.0668,2025-04-16 13:44:57.066797,navy,navy,45,NA,GX321866-00.06.15.850
1744808943.75715,2025-04-16 14:09:03.757151,NA,NA,NA,empty empty male or can’t see legs – go through at the same time,GX351866-00.05.33.658 or GX351866-00.05.34.150
1744809063.56234,2025-04-16 14:11:03.562336,NA,NA,NA,left leg not visible right turquoise timing is off but nothing goes through after this bird,GX351866-00.06.00.602
1744809229.18493,2025-04-16 14:13:49.184927,,,,no bird at this time stamp,
1744877221.71882,2025-04-17 09:07:01.718822,navy,navy,45,NA,GX011867-00.03.30.969
1744877232.63004,2025-04-17 09:07:12.63004,empty,empty,14,black cheeks so 14?,GX011867-00.03.39.636
1744877305.70668,2025-04-17 09:08:25.706683,NA,NA,NA,no bird at this time stamp,NA
1744878311.63787,2025-04-17 09:25:11.637865,empty,empty,14,black cheeks so 14?,GX031867-00.05.25.158
1744878395.26638,2025-04-17 09:26:35.266383,navy,navy,45,NA,GX031867-00.06.20.589
1744878416.35964,2025-04-17 09:26:56.359639,NA,NA,NA,can’t see tags,GX031867-00.06.33.184 
1744878478.91678,2025-04-17 09:27:58.916776,NA,NA,NA,no bird at this time stamp,
1744878537.49737,2025-04-17 09:28:57.497374,navy,black,50,NA,GX031867-00.08.18.898
1744879368.77349,2025-04-17 09:42:48.77349,empty,empty,14,black cheeks so 14?,GX051867-00.05.07.657 (and same bird face close up GX051867-00.05.07.557)
1744879414.69713,2025-04-17 09:43:34.697133,navy,navy,45,NA,GX051867-00.05.53.895
1744879454.67239,2025-04-17 09:44:14.67239,turquoise,grey,55,NA,GX051867-00.06.31.258
1744879531.87222,2025-04-17 09:45:31.872222,empty,empty,14,black cheeks so 14?,GX051867-00.07.50.829  
1744879532.50704,2025-04-17 09:45:32.507044,NA,NA,NA,left navy/blue cant see right tag,GX051867-00.07.51.221
1744879560.04632,2025-04-17 09:46:00.046318,empty,empty,14,black cheeks so 14?,GX051867-00.08.29.726
1744879570.86723,2025-04-17 09:46:10.867234,NA,NA,NA,left navy/blue cant see right tag,GX051867-00.08.30.018
1744879571.39216,2025-04-17 09:46:11.39216,NA,yellow,30,left leg not visible but 30 has been hanging around from beginning of this video,GX061867-00.00.10.360
1744879688.34924,2025-04-17 09:48:08.349242,brown,turquoise,59,NA,GX061867-00.01.53.947
1744879688.80913,2025-04-17 09:48:08.809133,NA,NA,NA,left yellow/lime can’t see right,GX061867-00.01.55.290
1744879691.12837,2025-04-17 09:48:11.128375,NA,NA,NA,blurry photo ,GX061867-00.01.55.616
1744879775.76336,2025-04-17 09:49:35.763356,NA,olive olive,11,NA,GX061867-00.03.22.102 and GX061867-00.03.22.127 
1744879777.96447,2025-04-17 09:49:37.964468,empty,empty,14,black cheeks so 14?,GX061867-00.03.24.654
1744879826.2513,2025-04-17 09:50:26.251304,turquoise,black,51,comes back at first time stamp but shows tags better than second time,GX061867-00.03.54.793 and GX061867-00.04.08.039
1744879835.53077,2025-04-17 09:50:35.530766,navy,navy,45,NA,GX061867-00.04.22.204
1744879865.54549,2025-04-17 09:51:05.54549,NA,NA,NA,empty empty? 14 Blurry photo,GX061867-00.04.52.234
1744879889.18408,2025-04-17 09:51:29.184075,navy,navy,45,NA,GX061867-00.04.53.101
1744879958.08711,2025-04-17 09:52:38.087114,olive,NA,4,NA,GX061867-00.05.55.055
1744880072.61824,2025-04-17 09:54:32.61824,empty,empty,NA,14?,GX061867-00.08.17.255
1744880145.8017,2025-04-17 09:55:45.801703,lilac,NA,28,NA,GX071867-00.01.37.214
1744880486.7438,2025-04-17 10:01:26.743797,empty,empty,14,black cheeks so 14?,GX071867-00.07.26.630
1744880688.48128,2025-04-17 10:04:48.481284,NA,NA,NA,left empty cant see right – male,GX081867-00.01.36.747
1744881253.04448,2025-04-17 10:14:13.044485,NA,NA,NA,timing is off but it’s the only bird I could see that went through,GX091867-00.02.18.981
1744881521.15347,2025-04-17 10:18:41.153469,brown,NA,33,NA,GX091867-00.07.51.196
1744881682.49951,2025-04-17 10:21:22.499514,NA,NA,NA,Right turquoise can’t see left or left purple can’t see right ,GX101867-00.00.57.282 or GX101867-00.00.58.467
1744882114.80714,2025-04-17 10:28:34.807143,lilac,NA,28,NA,GX101867-00.08.11.082
1744882259.64486,2025-04-17 10:30:59.644855,NA,NA,NA,1st bird photo blurry 2nd bird empty empty black cheeks 14? 3rd bird navy navy 45,GX111867-00.02.01.463 or GX111867-00.02.08.028 or GX111867-00.02.08.829
1744882602.32774,2025-04-17 10:36:42.327738,empty,empty,14,black cheeks so 14?,GX111867-00.07.46.124
1744882732.13769,2025-04-17 10:38:52.137694,NA,blue,2,has black cheeks so 2?,GX121867-00.01.22.641
1744882781.65806,2025-04-17 10:39:41.658055,NA,NA,NA,too blurry,GX121867-00.02.08.537
1744882844.75707,2025-04-17 10:40:44.757074,NA,NA,NA,can’t see ,GX121867-00.02.10.497 or GX121867-00.02.13.492
1744882940.77073,2025-04-17 10:42:20.770733,lilac,lime,22,NA,GX121867-00.04.52.584
1744883682.35357,2025-04-17 10:54:42.35357,NA,NA,NA,1st bird navy navy = 45 2nd bird empty empty black cheeks so 14?,GX141867-00.00.05.447 or GX141867-00.00.07.683
1744883830.76952,2025-04-17 10:57:10.76952,NA,NA,NA,lots of birds from 2.20 - difficult to tell what’s going on,NA
1744883901.90466,2025-04-17 10:58:21.904663,NA,blue,2,Male – black cheeks,GX141867-00.03.47.352
1744883984.56461,2025-04-17 10:59:44.564606,NA,NA,NA,can’t see. Also bird at 4.43 and 2 at 4.54,GX141867-00.05.31.731
1744884063.13165,2025-04-17 11:01:03.131647,NA,NA,NA,birds at 6.25  6.26  6.27 6.30 hard to tell what’s going on  ,NA
1744884088.48212,2025-04-17 11:01:28.482119,NA,NA,NA,photos are same bird – can’t see legs, GX141867-00.06.53.480 and GX141867-00.06.53.655 and GX141867-00.06.53.763
1744884403.02919,2025-04-17 11:06:43.029193,NA,NA,NA,Can’t see left leg right leg – lime/yellow ,GX151867-00.04.26.975
1744884630.01129,2025-04-17 11:10:30.011286,NA,NA,NA,1st bird can’t see left leg right empty 2nd bird empty empty ,GX151867-00.07.21.266 or GX151867-00.07.23.793 and (to help with ID) GX151867-00.07.23.426
1744884655.24287,2025-04-17 11:10:55.242872,lime,blue,52,1st bird can’t see left leg right empty 2nd bird left lime right blue = 52 ,GX151867-00.08.15.395 or GX151867-00.08.19.190 
1744884841.01317,2025-04-17 11:14:01.013166,brown,light pink,43,NA,GX161867-00.02.18.063
1744884847.92729,2025-04-17 11:14:07.927287,purple,turquoise,58,NA,GX161867-00.02.26.797
1744884868.49036,2025-04-17 11:14:28.490361,empty,empty,NA,NA,GX161867-00.02.49.611 and GX161867-00.02.49.695
1744884887.97195,2025-04-17 11:14:47.971947,navy,navy,45,NA,GX161867-00.03.09.489
1744885113.27531,2025-04-17 11:18:33.275312,NA,NA,NA,photo blurry,GX161867-00.06.54.931
1744885274.97198,2025-04-17 11:21:14.971977,NA,NA,NA,can’t see ,GX171867-00.01.04.222
1744885299.4646,2025-04-17 11:21:39.464603,NA,blue,2,NA,GX171867-00.01.25.875
1744885390.08498,2025-04-17 11:23:10.084979,NA,NA,NA,blurry photo ,GX171867-00.02.59.371
1744885436.10492,2025-04-17 11:23:56.104915,NA,NA,NA,blurry photo right leg tagged,GX171867-00.03.45.392
1744885543.39783,2025-04-17 11:25:43.397827,turquoise,black,51,multiple photos of same bird to id tags,GX171867-00.05.14.556 and GX171867-00.05.16.233
1744885643.7381,2025-04-17 11:27:23.738099,NA,NA,NA,1st bird empty empty Black cheeks = 14? 2nd bird navy navy = 45,GX171867-00.07.10.805 or GX171867-00.07.12.724
1744885726.50444,2025-04-17 11:28:46.50444,NA,NA,NA,photo blurry,GX171867-00.08.31.619
1744886061.1782,2025-04-17 11:34:21.178201,navy,navy,45,NA,GX181867-00.05.55.372
1744886118.1198,2025-04-17 11:35:18.119797,NA,brown,35,NA,GX181867-00.06.34.160
1744886819.19181,2025-04-17 11:46:59.191814,lilac,lime,22,NA,GX201867-00.01.10.921
1744886888.19334,2025-04-17 11:48:08.193343,lilac,lime,22,NA,GX201867-00.02.19.906
1744887031.70151,2025-04-17 11:50:31.70151,NA,NA,NA,no bird at this time stamp,NA
1744887520.54421,2025-04-17 11:58:40.544212,navy,black,50,NA,GX211867-00.04.18.708
1744887819.33807,2025-04-17 12:03:39.338065,NA,NA,NA,1st bird empty empty Black cheeks = 14? or 2nd bird navy navy = 45,GX221867-00.01.31.658 or GX221867-00.01.33.485 
1744888441.32801,2025-04-17 12:14:01.328006,brown,NA,33,photo is a bit blurry,GX231867-00.02.34.379
1744888613.8363,2025-04-17 12:16:53.836301,NA,NA,NA,a lot of birds 5.02  5.03  5.16 5.25  5.28  6.02  6.03,NA
1744889402.68536,2025-04-17 12:30:02.685361,purple,navy,46,NA,GX251867-00.01.25.352
1744889671.3132,2025-04-17 12:34:31.313195,NA,NA,NA,1st bird left brown right empty = 33 2nd bird (white one in photo) left lime right blue = 52,GX251867-00.05.59.534 or GX251867-00.06.34.761
1744889791.68515,2025-04-17 12:36:31.685145,NA,NA,NA,can’t see ,GX251867-00.07.46.174
1744890293.18201,2025-04-17 12:44:53.182009,turquoise,black,51,NA,GX261867-00.07.46.641
1744890937.15314,2025-04-17 12:55:37.153141,empty,empty,NA,??,GX281867-00.01.26.862 or same bird at GX281867-00.02.08.979
1744891120.07236,2025-04-17 12:58:40.072361,NA,NA,NA,can’t see feet for 1st two birds 3rd looks empty empty 4th left purple right turquoise = 58,GX281867-00.04.26.550 or GX281867-00.04.28.185 or GX281867-00.04.31.087 or GX281867-00.04.44.142 
1745311229.99403,2025-04-22 09:40:29.994028,NA,lilac,1,NA,GX011868-00.05.05.388
1745311487.59845,2025-04-22 09:44:47.598454,NA,NA,NA,can’t see feet,GX021868-00.00.51.818
1745311488.91596,2025-04-22 09:44:48.915963,NA,NA,NA,Left Brown can’t see right,GX021868-00.00.52.269
1745311939.62477,2025-04-22 09:52:19.624773,NA,NA,NA,1st bird left purple can’t see right 2nd bird left purple right orange = 53,GX021868-00.08.18.223 or  GX021868-00.08.20.283
1745312178.85316,2025-04-22 09:56:18.853156,NA,NA,NA,two go through at same time 1st photo left empty right blue/turquoise 2nd photo left empty right brown = 35,GX031868-00.03.47.227  or  GX031868-00.03.47.294
1745313088.47511,2025-04-22 10:11:28.475106,NA,NA,NA,can’t see feet – see also note in 10.11:54,GX051868-00.01.41.335
1745313091.81956,2025-04-22 10:11:31.819558,NA,NA,NA,left tag pink/light pink can’t see right leg,GX051868-00.01.46.531
1745313114.76456,2025-04-22 10:11:54.764557,olive,NA,4,there are also birds going through at 1.49  1.52  1.53,GX051868-00.01.48.600
1745313201.28807,2025-04-22 10:13:21.288075,NA,NA,NA,birds go through at 3.39  3.47  3.48  3.54 ,NA
1745313421.43295,2025-04-22 10:17:01.432946,NA,NA,NA,1st bird blurry photo 2nd bird right pink/light pink = 17 or 37,GX051868-00.07.27.564  or GX051868-00.07.28.248
1745313499.28979,2025-04-22 10:18:19.289789,NA,NA,NA,male right leg grey tag can’t see left leg Could be 7  16  57,GX061868-00.00.14.823
1745313502.39456,2025-04-22 10:18:22.394558,NA,NA,NA,blurry photo ,GX061868-00.00.16.341
1745313581.86021,2025-04-22 10:19:41.860206,NA,NA,NA,1st bird male right leg lilac = 1 2nd bird can’t see legs,GX061868-00.01.29.915 or GX061868-00.01.30.899
1745313858.00184,2025-04-22 10:24:18.001843,NA,lime,NA,cant see left leg but male so 22 or 40 ,GX061868-00.06.02.854
1745314720.6407,2025-04-22 10:38:40.640695,light pink,lime,42,NA,GX081868-00.03.26.098
1745314725.09016,2025-04-22 10:38:45.090157,NA,black black,10,NA,GX081868-00.03.31.136
1745314733.62496,2025-04-22 10:38:53.624959,NA,NA,NA,Male left blue/navy can’t see right,GX081868-00.03.32.362
1745314738.44738,2025-04-22 10:38:58.447381,NA,brown,35,NA,GX081868-00.03.36.516
1745314798.4165,2025-04-22 10:39:58.416498,lilac,NA,28,NA,GX081868-00.04.48.563
1745314957.79589,2025-04-22 10:42:37.795886,NA,NA,NA,1st bird can’t see 2nd bird left turquoise right lime = 40 ,GX081868-00.07.23.535 or GX081868-00.07.24.636
1745314971.48244,2025-04-22 10:42:51.482441,NA,NA,NA,1st bird female left empty right blue or turquoise = 8 or 34 2nd bird on right of photo can’t see legs but I think goes through first,GX081868-00.07.38.416 or GX081868-00.07.39.267
1745314996.96041,2025-04-22 10:43:16.960414,NA,NA,NA,1st bird has two left orange tags which isn’t ID sheet and right turquoise/blue 2nd bird can’t see legs,GX081868-00.08.06.886 or GX081868-00.08.08.838 
1745315590.73152,2025-04-22 10:53:10.731518,NA,NA,NA,left tag looks grey but no match on ID. Possibly lilac = 1 There are a lot of birds milling around at this time slot,GX101868-00.00.57.774
1745315671.93027,2025-04-22 10:54:31.930274,NA,NA,NA,left tag looks grey but no match on ID,GX101868-00.02.08.845
1745316116.82995,2025-04-22 11:01:56.829951,NA,NA,NA,can’t see left leg right brown There were a lot of birds going back and forth around this time stamp so difficult to tell which actually went through,GX111868-00.01.33.260
1745316360.96246,2025-04-22 11:06:00.962462,purple,brown,48,a lot of other birds around 5.09 – difficult to work out who went through,GX111868-00.05.07.007
1745316364.01794,2025-04-22 11:06:04.01794,NA,NA,NA,a lot of birds around 5.07 5.09 5.10 but none nearer to 6.00,NA
1745317159.34387,2025-04-22 11:19:19.343868,NA,NA,NA,can’t see left leg right purple/blue,GX131868-00.01.16.643
1745317453.81025,2025-04-22 11:24:13.810253,NA,NA,NA,Can’t see left leg Right lime,GX131868-00.06.44.129
1745317479.24055,2025-04-22 11:24:39.240551,lilac,lime,22,NA,GX131868-00.06.44.938
1745317487.04731,2025-04-22 11:24:47.047307,turquoise,black,51,NA,GX131868-00.06.46.298
1745317492.5591,2025-04-22 11:24:52.559097,NA,NA,NA,can’t see ,GX131868-00.06.53.079
1745317826.14631,2025-04-22 11:30:26.146314,NA,NA,NA,can’t see both male,GX141868-00.03.59.639 or GX141868-00.04.11.001
1745317942.61205,2025-04-22 11:32:22.612049,yellow,NA,24,NA,GX141868-00.05.56.468
1745318217.16763,2025-04-22 11:36:57.167629,purple,NA,36,NA,GX151868-00.02.09.287
1745318223.17358,2025-04-22 11:37:03.17358,NA,NA,NA,left yellow/orange right white – doesn’t exist in ID ,GX151868-00.03.24.996
1745318225.62669,2025-04-22 11:37:05.626685,NA,NA,NA,1st bird can’t see 2nd left empty right blue = 2,GX151868-00.03.34.489 or GX151868-00.03.40.087
1745321151.61564,2025-04-22 12:25:51.615642,purple,orange,53,lots of birds around this time slot,GX201868-00.08.04.534
1745321544.24055,2025-04-22 12:32:24.240545,lime,blue,52,NA,GX211868-00.06.08.310
1745322209.79121,2025-04-22 12:43:29.791212,NA,blue,2,NA,GX221868-00.08.28.767
1745322358.17383,2025-04-22 12:45:58.173829,light pink,lime,42,NA,GX231868-00.02.34.329
