entrance_epoch_time,exit_epoch_time,trial_id,exit_gate_id,datetime,bird_id,bg1,bg2,fg1,fg2,bird_name,phenotype,sex,mass_g,age_days
1744101332.2271268,1744101332.3471472,6,left,2025-04-08T08:35:32Z,28,dark,dark,white,black,Colobus,wt,male,17,988
1744101478.7838092,1744101479.1937635,6,left,2025-04-08T08:37:58Z,59,dark,dark,white,black,NA,pied,female,NA,617
1744101633.7742517,1744101633.937579,6,left,2025-04-08T08:40:33Z,31,dark,dark,white,black,NA,cfw,male,16.8,686
1744101804.6129627,1744101804.740511,5,left,2025-04-08T08:43:24Z,59,light,light,white,black,NA,pied,female,NA,617
1744101846.8956368,1744101847.0932755,5,left,2025-04-08T08:44:06Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744101984.521326,1744101984.6427743,6,left,2025-04-08T08:46:24Z,22,dark,dark,white,black,Zebra,wt,male,19.1,1023
1744102187.065074,1744102187.0683324,6,left,2025-04-08T08:49:47Z,52,dark,dark,white,black,Trumpet,cfw,male,20.9,645
1744102292.0443745,1744102292.1525714,5,left,2025-04-08T08:51:32Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744102303.9388993,1744102304.1523929,6,left,2025-04-08T08:51:43Z,7,dark,dark,white,black,Left,wt,male,14.7,1633
1744102333.2346814,1744102333.3251054,5,left,2025-04-08T08:52:13Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744102572.1804338,1744102572.4806485,6,left,2025-04-08T08:56:12Z,22,dark,dark,white,black,Zebra,wt,male,19.1,1023
1744102937.9762754,1744102938.8949933,5,left,2025-04-08T09:02:17Z,35,light,light,white,black,NA,cfw,female,16.7,684
1744103002.7315052,1744103003.2840245,6,left,2025-04-08T09:03:22Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1744103270.1009507,1744103270.392881,5,left,2025-04-08T09:07:50Z,56,light,light,white,black,NA,wt,female,NA,638
1744103404.0065897,1744103404.2937057,5,left,2025-04-08T09:10:04Z,7,light,light,white,black,Left,wt,male,14.7,1633
1744103412.7594657,1744103413.012507,5,right,2025-04-08T09:10:12Z,10,light,light,white,black,Penguin,NA,male,19.8,1296
1744103592.7952645,1744103593.0263925,5,left,2025-04-08T09:13:12Z,20,light,light,white,black,NA,cfw,male,21.4,1027
